Dates,IND_Home_Game,IND_Overs,NZ_Overs
01/18/14,0,48.4,50
01/21/14,0,41.3,42
01/24/14,0,50,50
01/27/14,0,48.1,50
01/30/14,0,49.4,50
02/05/14,0,60,121.4
02/09/14,0,96.3,41.2
02/13/14,0,102.4,52.5
02/18/14,0,52,210
03/15/16,1,18.1,20
09/22/16,1,97,95.5
09/26/16,1,107.2,87.3
09/30/16,1,104.5,53
10/03/16,1,76.5,81.1
10/08/16,1,169,90.2
10/11/16,1,49,44.5
10/16/16,1,33.1,43.5
10/20/16,1,49.3,50
10/23/16,1,48.2,49.4
10/26/16,1,48.4,50
10/29/16,1,50,23.1
05/28/17,0,26,38.4
10/22/17,1,50,49
10/25/17,1,46,50
10/29/17,1,50,50
11/01/17,1,20,20
11/04/17,1,20,20
11/07/17,1,8,8
01/22/19,0,34.5,38
01/25/19,0,50,40.2
01/27/19,0,43,49
01/30/19,0,30.5,14.4
02/02/19,0,49.5,44.1
02/06/19,0,19.2,20
02/08/19,0,18.5,20
02/10/19,0,20,20
05/25/19,0,39.2,37.1
07/09/19,0,49.3,50
01/24/20,0,19,20
01/26/20,0,17.3,20
02/02/20,0,20,20
02/04/20,0,50,48.1
02/07/20,0,48.3,50
02/10/20,0,50,47.1
02/20/20,0,68.1,100.2
02/24/20,0,81,1.4
02/28/20,0,63,73.1
03/02/20,0,46,36
06/18/21,0,92.1,99.2
06/23/21,0,73,45.5
10/31/21,0,20,14.3
11/17/21,1,19.4,20
11/19/21,1,17.2,20
11/21/21,1,20,17.2
11/24/21,1,111.1,142.3
11/29/21,1,81,98
12/02/21,1,109.5,28.1
12/07/21,1,70,56.3
11/20/22,0,20,18.5
11/23/22,0,75,160