Dates,NZ_Wickets
01/18/14,7
01/21/14,7
01/24/14,10
01/27/14,3
01/30/14,10
02/05/14,10
02/09/14,10
02/13/14,10
02/18/14,10
03/15/16,7
09/22/16,10
09/26/16,10
09/30/16,10
10/03/16,10
10/08/16,10
10/11/16,10
10/16/16,10
10/20/16,9
10/23/16,10
10/26/16,7
10/29/16,10
05/28/17,10
10/22/17,4
10/25/17,9
10/29/17,7
11/01/17,8
11/04/17,2
11/07/17,6
01/22/19,10
01/25/19,10
01/27/19,10
01/30/19,2
02/02/19,10
02/06/19,2
02/08/19,8
02/10/19,4
05/25/19,4
07/9/19,8
01/24/20,5
01/26/20,5
02/02/20,9
02/04/20,6
02/07/20,8
02/10/20,5
02/20/20,10
02/24/20,0
02/28/20,10
03/02/20,3
06/18/21,10
06/23/21,2
10/31/21,2
11/17/21,6
11/19/21,6
11/21/21,10
11/24/21,10
11/29/21,9
12/02/21,10
12/07/21,10
11/20/22,10
11/22/22,10